frame,frame_ms,render_ms,input_ms,movement_ms,npc_ms,combat_ms,animation_ms,npcs,corpses,drops,avatar_moved
1,30.214,14.382,0.002,0.004,0.103,0.008,0.002,60,0,6,false
2,29.877,13.866,0.001,0.004,0.080,0.007,0.002,60,0,6,false
3,30.032,14.257,0.001,0.004,0.079,0.025,0.002,60,0,6,false
4,29.633,14.303,0.001,0.003,0.080,0.019,0.002,60,0,6,false
5,28.331,11.769,0.001,0.003,0.097,0.007,0.001,60,0,6,false
6,27.531,11.732,0.001,0.003,0.116,0.007,0.015,60,0,6,false
7,30.063,13.926,0.001,0.003,0.080,0.007,0.004,60,0,6,false
8,28.962,13.710,0.001,0.003,0.058,0.007,0.002,60,0,6,false
9,29.336,13.991,0.001,0.003,0.053,0.007,0.001,60,0,6,false
10,27.401,11.856,0.001,0.003,0.054,0.007,0.001,60,0,6,false
11,27.455,11.624,0.001,0.014,0.054,0.007,0.002,60,0,6,false
12,31.347,14.545,0.001,0.005,0.051,0.007,0.002,60,0,6,false
13,29.988,14.544,0.001,0.017,0.053,0.006,0.001,60,0,6,false
14,26.892,11.643,0.001,0.019,0.058,0.007,0.001,60,0,6,false
15,27.286,11.860,0.001,0.001,0.056,0.007,0.001,60,0,6,false
16,28.184,11.749,0.001,0.001,0.058,0.007,0.001,60,0,6,false
17,28.212,12.641,0.001,0.001,0.054,0.008,0.002,60,0,6,false
18,30.031,14.108,0.001,0.001,0.052,0.007,0.002,60,0,6,false
19,29.853,14.151,0.001,0.001,0.051,0.007,0.001,60,0,6,false
20,26.903,11.629,0.001,0.001,0.069,0.007,0.001,60,0,6,false
21,26.863,11.689,0.001,0.001,0.069,0.007,0.001,60,0,6,false
22,28.467,11.771,0.001,0.001,0.054,0.007,0.001,60,0,6,false
23,27.318,11.795,0.001,0.001,0.056,0.007,0.002,60,0,6,false
24,29.309,14.221,0.001,0.001,0.052,0.006,0.001,60,0,6,false
25,28.371,12.439,0.001,0.001,0.054,0.007,0.002,60,0,6,false
26,30.547,14.575,0.001,0.001,0.056,0.007,0.002,60,0,6,false
27,29.028,13.874,0.001,0.001,0.073,0.008,0.002,60,0,6,false
28,30.123,14.151,0.001,0.001,0.072,0.007,0.004,60,0,6,false
29,31.015,14.831,0.006,0.741,0.103,0.013,0.003,60,0,6,true
30,29.998,14.030,0.001,0.003,0.076,0.010,0.002,60,0,6,false
31,27.638,12.087,0.001,0.010,0.064,0.010,0.002,60,0,6,true
32,29.577,14.335,0.001,0.003,0.064,0.008,0.002,60,0,6,false
33,28.115,12.420,0.001,0.007,0.058,0.007,0.003,60,0,6,true
34,31.091,15.087,0.001,0.004,0.056,0.021,0.003,60,0,6,false
35,29.774,14.513,0.001,0.024,0.075,0.010,0.002,60,0,6,true
36,29.353,13.351,0.001,0.002,0.074,0.007,0.002,60,0,6,false
37,30.295,14.970,0.001,0.008,0.081,0.007,0.002,60,0,6,true
38,29.015,13.414,0.001,0.003,0.068,0.007,0.002,60,0,6,false
39,28.022,12.893,0.001,0.011,0.075,0.008,0.002,60,0,6,true
40,29.465,13.454,0.001,0.004,0.078,0.008,0.002,60,0,6,false
